time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 16:23:06 2026,40.3305859375,143567,22.65199358486593,1007.9190220174077,44.47887665199415,0,1,1,0,1,1,192,54,8,2,0,0
Wed Feb 18 16:23:07 2026,40.3659375,143335,22.556716876608917,1007.9210507505536,44.46191377639086,0,1,1,0,1,1,192,54,8,2,0,0
Wed Feb 18 16:23:08 2026,40.4005078125,143801,22.58107800235492,1007.923591734043,44.440667853622266,0,1,1,0,1,1,192,50,10,2,0,0
Wed Feb 18 16:23:09 2026,40.4360546875,143918,22.529350075022716,1007.9259265589324,44.42114572279184,0,0,0,0,0,0,192,50,10,2,0,0
Wed Feb 18 16:23:10 2026,40.4563671875,143918,22.45474150923798,1007.9303202758309,44.38440871321636,0,0,0,0,0,0,192,50,10,2,0,0
Wed Feb 18 16:23:11 2026,40.474921875,144980,22.407206845128588,1007.9282866066732,44.401412733778116,0,0,0,0,0,0,210,50,10,2,0,0
Wed Feb 18 16:23:12 2026,40.4887890625,144624,22.359334034286842,1007.9275741195452,44.40737002486459,0,0,0,0,0,0,210,50,10,2,0,0
Wed Feb 18 16:23:13 2026,40.52609375,145576,22.19919029462395,1007.9738347497888,44.02057988164723,0,0,0,0,0,0,210,50,10,2,0,0
Wed Feb 18 16:23:14 2026,40.5315625,146663,21.890542721234993,1007.9523426653004,44.20027574166792,0,0,0,0,0,0,204,54,10,2,0,0
Wed Feb 18 16:23:15 2026,40.528046875,148510,21.52788094078518,1007.9394909126079,44.30773105206889,0,0,0,0,0,0,204,54,10,2,0,0
Wed Feb 18 16:23:16 2026,40.4887890625,148385,21.163618783256343,1007.9400780534188,44.302821861048926,0,1,1,0,1,1,204,54,10,2,0,0
Wed Feb 18 16:23:17 2026,40.4348828125,148510,20.917598772465094,1007.9293826818936,44.392248169062256,0,1,1,0,1,1,198,52,12,2,0,0
Wed Feb 18 16:23:18 2026,40.364375,150917,20.66019027152824,1007.9167282244182,44.49805580957596,0,1,1,0,1,1,198,52,12,2,0,0
Wed Feb 18 16:23:19 2026,40.3346875,151954,20.41687256017971,1007.9042505318903,44.602386519574885,0,1,1,0,1,1,198,52,12,2,0,0
Wed Feb 18 16:23:20 2026,40.345234375,151434,20.251643811001173,1007.8981563922578,44.653342307777436,0,0,0,0,0,0,198,52,14,2,0,0
Wed Feb 18 16:23:21 2026,40.3591015625,152874,20.124242960681514,1007.9045954183947,44.5995027789185,0,0,0,0,0,0,198,52,14,2,0,0
Wed Feb 18 16:23:22 2026,40.37609375,154882,19.90106494958541,1007.9089630167342,44.56298352723211,0,0,0,0,0,0,198,52,14,2,0,0
Wed Feb 18 16:23:23 2026,40.4024609375,153804,19.758809083198333,1007.9285483719835,44.39922404646404,0,0,0,0,0,0,192,54,16,2,0,0
